ratingId;moduleId;score;grade;voteScore;ups;downs
5b3333c20aa5d6001abdad71;50834119;3;5.25;0;0;0
5d151eae00270c001cf1a5a4;50834119;5;5.00;0;0;0
5c529d4b98a84a001c64fa21;50834119;4;5.00;0;0;0
5a5f6786be6796001a9db10a;50834119;1;4.50;0;0;0
5a7ac8538c0f1b001a2f6d0e;50834119;3;5.00;0;0;0
5d814a7d3ef045001ca8b733;50826915;4;5.25;0;0;0
5d24d34f490ddc001c96a72a;50826915;3;5.25;0;0;0
5c3f03d76f5518001c6590ca;50826915;3;5.25;1;1;0
5b3c8071f07b02001a046e75;50826915;5;5.25;0;1;1
5b38f1a8b28227001acd93af;50826915;4;5.25;1;3;2
5a5f3f34be6796001a9da231;50826915;3;5.25;1;2;1
5d2b329d78e8cd001cf90f4f;50826915;4;5.50;0;0;0
5d1af6aa139930001c203ab7;50826915;2;4.50;0;0;0
5d2464a9490ddc001c9615d9;50826915;4;5.75;0;0;0
5be17b99ca55cb001b39c5cc;50826915;4;5.25;0;0;0
5b89a4ba50a40a001a936bd7;50826915;5;5.50;0;0;0
5b5ee558fce4b7001a7487f3;50826915;2;5.50;0;0;0
5b4340fc5c57d5001afa3f5f;50826915;3;5.50;0;0;0
5a6850c6917cb6001a9cf72f;50826915;4;4.75;0;0;0
5b15b28b4849e5001a58b849;50034087;4;5.25;0;0;0
5a623340f92ac7001a6ec90f;50034087;5;5.25;0;0;0
5d0a4b33c4518e001c90ff21;50393236;4;5.75;4;4;0
5b448e3deff072001a63610b;50393236;5;5.75;3;3;0
5d28f5d8041f0f001c838523;50393236;5;5.75;0;0;0
5d1b3b1e139930001c209a1c;50393236;4;5.00;0;0;0
5d1688cb642f27001c093980;50393236;4;5.00;0;0;0
5d152fa700270c001cf1b0b5;50393236;5;5.00;0;0;0
5d14981a00270c001cf10eb5;50393236;5;5.25;0;0;0
5d14c02000270c001cf147eb;50393236;5;5.25;0;0;0
5d11b61ef319ef001c793233;50393236;5;5.00;0;0;0
5c07dbc0522062001bc23fce;50393236;5;5.00;0;0;0
5b4bb3ce36ebdc001a70e2b3;50393236;3;5.50;0;0;0
5b2cfece629cb1001a775484;50393236;3;5.50;0;0;0
5b28dfa6cc3364001a322122;50393236;4;5.25;0;0;0
5a68fc20c9e055001ac8dd25;50393236;1;3.50;0;0;0
5d1bb2dd139930001c212966;50873092;1;4.50;1;1;0
5d25c4a6cda012001ca61e81;50873092;3;4.25;0;1;1
5d1c614e8a3f6d001ca311c4;50873092;2;5.50;2;2;0
5d1b89d5139930001c21089f;50873092;2;4.75;3;3;0
5bc4465cd6ce9d00193a0c0c;50873092;1;5.50;3;3;0
5aa932a9c44db8001a7c86ca;50873092;1;5.25;0;2;2
5d75f3b9b9dc6f001ca2c289;50873092;2;5.25;0;0;0
5d297c80041f0f001c839bca;50873092;2;5.75;0;0;0
5d1e49e53d5e6e001cf9b26e;50873092;5;null;0;0;0
5d1c4b6e8a3f6d001ca2f65d;50873092;1;4.75;0;0;0
5d1ba3bb139930001c211d67;50873092;3;5.50;0;0;0
5c07dc0a522062001bc23ff2;50873092;1;4.75;0;0;0
5bb9bbc89120b2001915aadf;50873092;1;5.25;0;0;0
5b89a4ce50a40a001a936bd9;50873092;2;4.50;0;0;0
5d1642ae642f27001c0910e2;50369622;5;5.00;0;0;0
5d7635bdb9dc6f001ca2fa2d;50392757;2;4.00;0;0;0
5d279039f515bb001cb15ee0;50392757;3;4.50;0;0;0
5d2761ecf515bb001cb13f79;50392757;2;4.00;0;0;0
5d149ace00270c001cf112d0;50392757;1;4.50;0;0;0
5c41964af6bb49001c6eddfd;50392757;2;4.00;0;0;0
5d1ef4876cf972001c80b55f;50941429;3;5.50;0;1;1
5d1f73e66cf972001c819d50;50941429;5;6.00;1;2;1
5d3984fd538d8f001c6a3233;50941429;3;5.00;0;0;0
5df7372f456e68001edce2ba;50523065;3;5.50;0;0;0
5d814a973ef045001ca8b75e;50523065;4;5.00;0;0;0
5d454246d63a3f001cfe64dc;50523065;5;5.50;0;0;0
5ce327439c3a91001cfafcdb;50523065;1;5.00;0;0;0
5d5d373431a6d7001c37b18f;50840951;3;4.75;-1;0;1
5b368f0d5fb074001aff63d9;50840951;4;5.50;1;2;1
5a8739eeae1a7f001a7caa5f;50840951;5;6.00;-10;1;11
5b7064f6b8f62d001ac43123;50840951;3;5.50;0;0;0
5c763656bc5eb4001c0684a6;50873099;1;5.50;14;14;0
5c73e22806db83001cb0d47d;50873099;1;5.75;19;19;0
5b33b4780aa5d6001abea29d;50873099;5;5.75;-5;1;6
5b322f216f5508001adbdf6e;50873099;2;5.50;7;8;1
5d0e81c8fbaaec001ce531b1;50873099;3;5.25;0;0;0
5cdc64e1a11728001ca05c6f;50873099;3;5.50;0;0;0
5b36451c52a310001aad098f;50873099;1;5.00;0;0;0
5b185ed6881910001a32077d;50873099;4;5.25;0;0;0
5d25c5c9cda012001ca620a5;50873101;2;3.50;2;2;0
5b3694785fb074001aff67cc;50873101;2;5.00;6;7;1
5d814a613ef045001ca8b704;50873101;4;5.50;0;0;0
5d246336490ddc001c9613ec;50873101;4;5.25;0;0;0
5b3644e152a310001aad0917;50873101;4;5.75;0;0;0
5d0be73ba2f002001c662ce9;50945562;5;5.75;0;0;0
5cffcbc09eda03001ce0985f;50945562;5;6.00;0;0;0
5cf002215fedb7001c9d9761;50945647;5;6.00;0;0;0
5d0be753a2f002001c662cf8;50945647;5;6.00;0;0;0
5d0d5f28fbaaec001ce4bf03;50314925;1;null;8;8;0
5d1b6af5139930001c20d9df;50314925;3;5.75;-1;0;1
5d07e0a4a514ad001cc8ec77;50314925;3;5.50;1;1;0
5d0a29d2c4518e001c90d284;50314925;4;5.25;22;23;1
5d1b6a97139930001c20d909;50314925;4;6;-2;0;2
5c3ee40f6f5518001c6544f9;50314925;5;5.50;6;6;0
5c3a138540ced6001c4fe2db;50314925;5;3.75;1;1;0
5b68c948917bb5001ac8c72d;50314925;4;5.50;4;5;1
5b5485895a7ff3001a464965;50314925;4;6.00;3;3;0
5b4ca2db3dcc0e001ab24878;50314925;3;4.00;0;0;0
5b3ba7686d405b001abdd9cd;50314925;4;6.00;1;2;1
5b3b9e766d405b001abdc86a;50314925;3;4.75;7;7;0
5a6f7f254adcfd001aa26797;50314925;5;6.00;1;2;1
5a5b6dfbaf6c59001a536aeb;50314925;4;3.25;1;2;1
5d56febb1d8232001c7ae0ce;50314925;5;3.25;0;0;0
5d53d4a6e8728a001c44aae9;50314925;2;4.50;0;0;0
5d1da5cf3d5e6e001cf8af41;50314925;4;6.00;0;0;0
5d1cc9ee8a3f6d001ca3a2a4;50314925;3;4.00;0;0;0
5d1ca8348a3f6d001ca37841;50314925;5;6.00;0;0;0
5d1c9b988a3f6d001ca367d3;50314925;2;5.00;0;0;0
5d1c54748a3f6d001ca2ff84;50314925;2;4.50;0;0;0
5d1c54b28a3f6d001ca2ffda;50314925;3;4.75;0;0;0
5d1b8d7a139930001c210c33;50314925;4;4.75;0;0;0
5d1b809d139930001c20fdf4;50314925;4;4.00;0;0;0
5cdc0da4a11728001ca0444c;50873015;5;5.50;2;2;0
5b28db44cc3364001a32187b;50873015;5;5.50;1;1;0
5ce4e8df170b12001cbd1580;50873015;5;5.50;0;0;0
